Timestamp,B TEMP_Value (°F),Predict,Lower,Upper
2019-10-16 15:50:00,,-12.770174905205126,-22.83089307389978,-2.70945673651047
2019-10-16 16:00:00,,-11.57051783056628,-21.631235999260937,-1.5097996618716216
2019-10-16 16:10:00,,-13.600836694666759,-23.661554863361417,-3.540118525972101
2019-10-16 16:20:00,,-9.330310483660293,-19.39102865235495,0.7304076850343648
2019-10-16 16:30:00,,-13.873034959875383,-23.93375312857004,-3.8123167911807254
2019-10-16 16:40:00,,-15.156556845327067,-25.217275014021723,-5.095838676632409
2019-10-16 16:50:00,,-12.768952751284237,-22.829670919978895,-2.7082345825895793
2019-10-16 17:00:00,,-12.014967974987375,-22.075686143682034,-1.954249806292717
2019-10-16 17:10:00,,-13.242047876786419,-23.30276604548108,-3.181329708091761
2019-10-16 17:20:00,,-13.298089183195486,-23.358807351890142,-3.2373710145008285
2019-10-16 17:30:00,,-15.462080093782351,-25.52279826247701,-5.401361925087693
2019-10-16 17:40:00,,-13.006228484690034,-23.06694665338469,-2.945510315995376
2019-10-16 17:50:00,,-10.670991936236476,-20.731710104931132,-0.610273767541818
2019-10-16 18:00:00,,-12.76978170959586,-23.80334218601265,-1.7362212331790712
2019-10-16 18:10:00,,-12.293073919191274,-23.326201676014644,-1.2599461623679034
2019-10-16 18:20:00,,-12.963689646239146,-23.996817403062515,-1.9305618894157774
2019-10-16 18:30:00,,-16.167597574233415,-27.200725331056788,-5.134469817410045
2019-10-16 18:40:00,,-14.52650485026846,-25.559632607091828,-3.4933770934450887
2019-10-16 18:50:00,,-12.557732422489673,-23.59086017931304,-1.5246046656663044
2019-10-16 19:00:00,,-11.479951599743313,-22.513079356566685,-0.44682384291994204
2019-10-16 19:10:00,,-14.853573212522928,-25.8867009693463,-3.8204454556995575
2019-10-16 19:20:00,,-13.189468253464028,-24.222596010287397,-2.1563404966406576
2019-10-16 19:30:00,,-15.550019075575682,-26.583146832399052,-4.516891318752313
2019-10-16 19:40:00,,-13.770924703246994,-24.804052460070366,-2.7377969464236234
